3.360751	1.183149	3.132397	2.395320	1
3.646590	0.592654	1.340891	2.304689	1
1.111099	1.661910	1.909588	1.886613	1
1.459138	1.540203	3.808919	2.748585	1
2.542847	2.151891	0.566410	1.820907	1
0.065202	0.728660	0.548926	2.412530	1
0.626716	1.202833	0.519162	0.326426	1
3.995698	0.654771	2.051730	2.517337	1
2.450559	0.888095	2.550209	1.572861	1
1.974332	2.918325	1.170067	2.314073	1
2.106980	2.309741	1.600914	2.674588	1
1.133259	1.057375	3.230898	2.757080	1
0.279021	2.847981	2.103981	0.258168	1
0.768855	1.989681	3.560930	1.046679	1
0.256685	0.060069	1.830807	0.189288	1
0.953120	2.911902	3.608832	2.552759	1
1.066663	1.619281	1.500828	2.280746	1
2.050142	2.003171	2.126426	0.117841	1
1.750550	2.795505	3.723239	2.162857	1
1.137174	2.215603	2.559915	1.062146	1
2.751446	0.497923	1.760418	2.640226	1
3.316804	0.991011	0.915873	2.680117	1
1.401441	2.060010	3.825873	1.765920	1
2.629216	2.576029	1.758240	2.771909	1
1.593747	2.444301	2.736874	2.732916	1
1.929963	0.647475	3.801009	2.760385	1
0.590640	2.643187	2.564322	1.295860	1
